type,comment_id,parent_comment_id,author,comment,published_at,like_count
reply,Ugw5K_Oh9JDHjPBweqh4AaABAg.AJ5hldEAso0AJ93gM5Bokb,Ugw5K_Oh9JDHjPBweqh4AaABAg,@Siddhant-pb9xu,Yes,2025-06-09T12:48:58Z,0
reply,Ugw5K_Oh9JDHjPBweqh4AaABAg.AJ5hldEAso0AJQjGjRhOIF,Ugw5K_Oh9JDHjPBweqh4AaABAg,@keshavkumar-n3t4p,"Bro israel is destroying your palestine and you're enjoying song here😢😢😢😢.
Just putting Palestinian DP is enough???😢😢😢😢
Go fight bro,don't enjoy song....show some jzba.😅",2025-06-16T09:28:10Z,0
reply,Ugw5K_Oh9JDHjPBweqh4AaABAg.AJ5hldEAso0AJhEEs1b9_l,Ugw5K_Oh9JDHjPBweqh4AaABAg,@AbhishekYadav-fw8hy,Bkl 2035 me bhi sunenge log,2025-06-23T04:34:37Z,0
top-level,Ugzl3URLCsgYNWeIjxl4AaABAg,,@InsaneHistory-k3b,"Today we are missing this type of lyrics. 
Kehte hai samay k sath logo ki sochne ki power or powerful ho jati hai
But aise metaphor ab sunne ko nhi milte 
How beautifully explained the combination of nature with her loved one 💞💞 
Badal or jal ki dhara ❤",2025-06-08T05:04:19Z,91
reply,Ugzl3URLCsgYNWeIjxl4AaABAg.AJ5eiL7i61kAJNcRgyGJqd,Ugzl3URLCsgYNWeIjxl4AaABAg,@ManishKumar-zc2ow,Kamariya hila de hila de😂😂 aaj kl ke trending songs h😂😅,2025-06-15T04:30:46Z,2
reply,Ugzl3URLCsgYNWeIjxl4AaABAg.AJ5eiL7i61kAJU7lypjQzx,Ugzl3URLCsgYNWeIjxl4AaABAg,@Ayush..91,Ha,2025-06-17T17:08:44Z,1
reply,Ugzl3URLCsgYNWeIjxl4AaABAg.AJ5eiL7i61kAJVzLTLMaXu,Ugzl3URLCsgYNWeIjxl4AaABAg,@prernapiwal2511,agree🍂,2025-06-18T10:24:49Z,1
reply,Ugzl3URLCsgYNWeIjxl4AaABAg.AJ5eiL7i61kAJfZOTM5Mt8,Ugzl3URLCsgYNWeIjxl4AaABAg,@aellys5627,Some wise men said this is the century of idiots and somehow they were right...,2025-06-22T13:00:57Z,0
top-level,Ugye2FXDQtCE-0reWAN4AaABAg,,@NeetuAgarwal-t8s,Purane gano ki baat hi alg he..❤,2025-06-07T12:36:30Z,1
top-level,UgzA2qZeuAidSTEj1qt4AaABAg,,@LaviMainwal-b1x,Papa mummy k liye nhi ham kudh k liye sun rehe h,2025-06-07T11:33:21Z,5
reply,UgzA2qZeuAidSTEj1qt4AaABAg.AJ3mRnStEU5AJ4fuYLqKbl,UgzA2qZeuAidSTEj1qt4AaABAg,@shreyash_tope,w,2025-06-07T19:55:29Z,1
top-level,Ugx4-kDndGY4VzkImpJ4AaABAg,,@Olivia_oggy3011,Lyrics 🌸🎀,2025-06-07T08:23:13Z,0
reply,Ugx4-kDndGY4VzkImpJ4AaABAg.AJ3RgAncMeZAJcDESFtSuB,Ugx4-kDndGY4VzkImpJ4AaABAg,@Anuragrao034,Heyy..,2025-06-21T05:49:37Z,0
reply,Ugx4-kDndGY4VzkImpJ4AaABAg.AJ3RgAncMeZAJd0vXHB04B,Ugx4-kDndGY4VzkImpJ4AaABAg,@Olivia_oggy3011,​@@Anuragrao034hru,2025-06-21T13:21:17Z,0
top-level,UgxgVT14d3wkc9nEIWx4AaABAg,,@anshikapandey5546,Anyone in June 2025🌸❤,2025-06-07T04:40:12Z,186
reply,UgxgVT14d3wkc9nEIWx4AaABAg.AJ329nmxYvMAJ3ZodZJqIv,UgxgVT14d3wkc9nEIWx4AaABAg,@SatyavartRaj,Hey anshika 🥰,2025-06-07T09:34:17Z,5
reply,UgxgVT14d3wkc9nEIWx4AaABAg.AJ329nmxYvMAJ4KFubNLk0,UgxgVT14d3wkc9nEIWx4AaABAg,@Vibelyricssongs81,Daily sunta hu 🙂,2025-06-07T16:37:34Z,3
reply,UgxgVT14d3wkc9nEIWx4AaABAg.AJ329nmxYvMAJ5RVLupVXS,UgxgVT14d3wkc9nEIWx4AaABAg,@fawnnaqvi9702,Hi,2025-06-08T03:00:05Z,1
reply,UgxgVT14d3wkc9nEIWx4AaABAg.AJ329nmxYvMAJ5_i_JWraQ,UgxgVT14d3wkc9nEIWx4AaABAg,@avii.editx1,Yes,2025-06-08T04:20:40Z,1
reply,UgxgVT14d3wkc9nEIWx4AaABAg.AJ329nmxYvMAJ6IJAL-hjP,UgxgVT14d3wkc9nEIWx4AaABAg,@tomandjerry254,Jii😊,2025-06-08T10:59:01Z,1
top-level,UgwUAaYWYH1lnGkNhBF4AaABAg,,@anushkachaudhary7735,"Mai tab tak sath chalu tere 
Jab tak na kahe tu mai hara 🥲",2025-06-07T02:33:28Z,0
top-level,Ugz-kq6Pjyzod9qhOXx4AaABAg,,@HimanshuYadav-pl8zp,Night 🌃+chhat+alone+headfone+awesome moon 🌝=Heaven 😊,2025-06-06T17:57:47Z,0
top-level,UgxEjGU8LvNGzVGsnwl4AaABAg,,@mr.ar.354,,2025-06-06T17:57:08Z,0
top-level,UgyM_65sWQhJOZRW0D14AaABAg,,@ashishpaswan7964,Mere pitaji ke favourite song me se ek ye bhi aaj ghar mein chla diya ❤pitaji khush ❤,2025-06-06T17:25:21Z,5
top-level,Ugy9jJvKPktDYZyE5w94AaABAg,,@MR.Avinash_19,This is spiritual love ❤️,2025-06-06T17:08:11Z,22
top-level,UgwYsOttomD4czpZvo54AaABAg,,@ManishBogati-t6r,First time I listen this song by elvish yadav and I love it ❤️❤️,2025-06-06T16:44:21Z,0
top-level,Ugzfo75se0tD7V99VjR4AaABAg,,@POORVIII_07,Any teenager?,2025-06-06T11:32:34Z,361
reply,Ugzfo75se0tD7V99VjR4AaABAg.AJ1CZAvbKhnAJ3S73QEJMH,Ugzfo75se0tD7V99VjR4AaABAg,@Siddhant-pb9xu,Yess,2025-06-07T08:27:01Z,8
reply,Ugzfo75se0tD7V99VjR4AaABAg.AJ1CZAvbKhnAJ6J8TmznZc,Ugzfo75se0tD7V99VjR4AaABAg,@TahiraAbdul-v4g,Yes ❤,2025-06-08T11:06:18Z,3
reply,Ugzfo75se0tD7V99VjR4AaABAg.AJ1CZAvbKhnAJDJQrRmRIU,Ugzfo75se0tD7V99VjR4AaABAg,@dhemonchele6146,💯,2025-06-11T04:23:29Z,2
reply,Ugzfo75se0tD7V99VjR4AaABAg.AJ1CZAvbKhnAJFlw7OkHmp,Ugzfo75se0tD7V99VjR4AaABAg,@nandaMaity-hg8ro,Yeessss,2025-06-12T03:19:47Z,1
reply,Ugzfo75se0tD7V99VjR4AaABAg.AJ1CZAvbKhnAJH6AYDnKpX,Ugzfo75se0tD7V99VjR4AaABAg,@THE_SUHAN-VERSE,18🤧,2025-06-12T15:44:38Z,3
top-level,UgzWokL9zU4lJt4l4BB4AaABAg,,@MadhuriRajput-e8s,❤😊,2025-06-06T11:30:51Z,0
top-level,Ugy369PTriyswJMn9MZ4AaABAg,,@LaraibBhatti-i8t,Uff lyrics ❤,2025-06-06T09:23:34Z,0
top-level,UgxwIdK8lQC9_gWh8194AaABAg,,@KaustubhKumar-p5p,0:19,2025-06-06T09:07:40Z,0
top-level,Ugx6dw8vJy2bc9i_P5Z4AaABAg,,@nainathakur695,no pyar but obsessed with this song 😂❤,2025-06-06T07:58:35Z,82
reply,Ugx6dw8vJy2bc9i_P5Z4AaABAg.AJ0p3xSYxUEAJWZ9FR0SmE,Ugx6dw8vJy2bc9i_P5Z4AaABAg,@coldheart777,Aaur mere jaise family ki yaad me sunte hai 😂,2025-06-18T15:46:28Z,1
top-level,Ugzy0R8Zz21NE5ynsr94AaABAg,,@Twilight_Drama,Obsessed with this song 🎶😌,2025-06-05T17:21:38Z,128
reply,Ugzy0R8Zz21NE5ynsr94AaABAg.AJ-FhtDBntnAJ_uC8EoKsq,Ugzy0R8Zz21NE5ynsr94AaABAg,@kazisaifhussain5532,🫠,2025-06-20T08:16:03Z,0
top-level,UgzxWAyT0kl7NTwwJI54AaABAg,,@Twilight_Drama,🎶Gen z 👉🏻❤,2025-06-05T17:14:43Z,0
reply,UgzxWAyT0kl7NTwwJI54AaABAg.AJ-EvFkME-MAJ-GKEYbhdF,UgzxWAyT0kl7NTwwJI54AaABAg,@Doneisyour,Yaar kitna comment karoge 😅😅,2025-06-05T17:27:00Z,0
top-level,Ugx6PrrzrkLqlcfBaTx4AaABAg,,@Twilight_Drama,Watched 50 times continuesly😃,2025-06-05T17:14:00Z,13
reply,Ugx6PrrzrkLqlcfBaTx4AaABAg.AJ-EpzwGmQcAJ-FdGW3-S4,Ugx6PrrzrkLqlcfBaTx4AaABAg,@Twilight_Drama,Or moree,2025-06-05T17:21:00Z,1
reply,Ugx6PrrzrkLqlcfBaTx4AaABAg.AJ-EpzwGmQcAJW-OKEMEWU,Ugx6PrrzrkLqlcfBaTx4AaABAg,@AhsanAli-f4m7g,Hi,2025-06-18T10:33:57Z,0
reply,Ugx6PrrzrkLqlcfBaTx4AaABAg.AJ-EpzwGmQcAJW-QUyLn_t,Ugx6PrrzrkLqlcfBaTx4AaABAg,@AhsanAli-f4m7g,​@hiTwilight_Drama,2025-06-18T10:34:15Z,0
reply,Ugx6PrrzrkLqlcfBaTx4AaABAg.AJ-EpzwGmQcAJZJqY8dQvZ,Ugx6PrrzrkLqlcfBaTx4AaABAg,@AyushiChabri,You are cooked bro🤧😭,2025-06-19T17:30:25Z,0
top-level,Ugzc3_IlO1jHTKLp-BR4AaABAg,,@beginnersgaming5625,Anyone 2030 ??,2025-06-05T13:54:48Z,1
reply,Ugzc3_IlO1jHTKLp-BR4AaABAg.AIzt21G5vaWAJ-FA2dJVbP,Ugzc3_IlO1jHTKLp-BR4AaABAg,@Twilight_Drama,Me ✋🏻😌,2025-06-05T17:16:52Z,1
reply,Ugzc3_IlO1jHTKLp-BR4AaABAg.AIzt21G5vaWAJ-F_XBZJPu,Ugzc3_IlO1jHTKLp-BR4AaABAg,@Twilight_Drama,Me ✋🏻😌,2025-06-05T17:20:29Z,0
reply,Ugzc3_IlO1jHTKLp-BR4AaABAg.AIzt21G5vaWAJ-PoOzM7ix,Ugzc3_IlO1jHTKLp-BR4AaABAg,@Tajcreation-p7s,Nahi3000 hi ni pohnch gaay ap,2025-06-05T18:49:54Z,1
top-level,UgysaxgEG3y7wIY-RbF4AaABAg,,@Sigma-e7w3s,Rajab family❤👀,2025-06-05T05:20:34Z,0
reply,UgysaxgEG3y7wIY-RbF4AaABAg.AIyyBhHXjQQAJ0ysXhQqfW,UgysaxgEG3y7wIY-RbF4AaABAg,@LaraibBhatti-i8t,Is song k yeh comment Ka Kya Matlab hai 😂,2025-06-06T09:24:17Z,0
top-level,UgyQq0U0iIcey4tsVmN4AaABAg,,@Arpitvlogs-fun,Meri mummy papa ko mere or uske bare me pata chal gya uske ghar me bhii pata chal gya uske ghr wale mere ghar aaye or mujhe bhot data unhone mai bhot buri tarah fass chuka hu mujhe shadi usse he krni h par na mere ghr wale manenge na uske ghar wale uper se hamare me intercaste marriage nhai krte ab ky kru bhai koi bata sakta h Kya please 🙏🏻🥺,2025-06-05T04:17:06Z,1
reply,UgyQq0U0iIcey4tsVmN4AaABAg.AIyqvnHYfuhAIzUiM1jx2Q,UgyQq0U0iIcey4tsVmN4AaABAg,@bestinbudgetYT,😢,2025-06-05T10:13:32Z,0
reply,UgyQq0U0iIcey4tsVmN4AaABAg.AIyqvnHYfuhAJ0CP3bMSgD,UgyQq0U0iIcey4tsVmN4AaABAg,@MDEDITZ,Koi nahi babu god's plan bolke chodd de❤❤ wo best planer hai❤,2025-06-06T02:11:57Z,0
top-level,Ugw0fv42N9Dj8oGDQWB4AaABAg,,@susmatiwari9010,❤❤😊😊nice song,2025-06-05T03:11:54Z,0
top-level,UgwZLTjhIDAJZGqqymp4AaABAg,,@SarkariMeMe_भंडार,Purane gaano ki taraf loton🔥,2025-06-05T00:50:26Z,3
top-level,Ugw4oiLsXUmt5f-wmAp4AaABAg,,@mohdchand1015,🎻🎺,2025-06-04T17:56:29Z,2
top-level,Ugyk60SMm6BkXlJq5O54AaABAg,,@Ishfaq.7860,2025 nd 2026 walo like karo attendance k liye 😅😊,2025-06-04T00:32:06Z,1
top-level,UgxShThwEnLKrW7g7hd4AaABAg,,@vivekpawaskar7577,❤❤❤❤❤❤,2025-06-03T16:41:47Z,2
top-level,Ugxp40eLiF9snufpK2l4AaABAg,,@sklover68,Who listens this song in 2025 1:37,2025-06-03T15:43:49Z,19
top-level,UgwP0o9wBn_L9p6iXLh4AaABAg,,@komalsingh5134,Year 2000 k time huke bhi ye sung sun rahe ho kyuki joh phle thi ab nhi hai ❤,2025-06-03T14:47:04Z,4
top-level,Ugz91JqoVVlAiK3f_SF4AaABAg,,@FunnyYt-lq1lo,♥️😔,2025-06-03T14:05:48Z,0
top-level,UgyNJPhGOxnjeXfGzYx4AaABAg,,@A1SD,Who thinks rafi ji songs has full of expression,2025-06-03T14:04:58Z,7
top-level,UgzB90hK9oQ5Z7vDK694AaABAg,,@FardeenKhan-d7i2w,💓,2025-06-03T10:29:05Z,0
top-level,UgyMZAPtlV2xfPtrqfN4AaABAg,,@HariomKumar-tg8ql,jo ye gane sunne me maza h o kisi our gaane me kaha  i love this old song 💝💝,2025-06-03T06:25:22Z,40
top-level,Ugwq0_Y7rueE3fIvO_14AaABAg,,@desiboy78685,Kon kon insta se aaya hai 😂😊,2025-06-03T06:03:16Z,9
top-level,Ugz5zOdMzXbtRvx-x6x4AaABAg,,@Majorsandeep-qc6jg,Mjhe smjh nhi Aaya moral kya tha ies video kya 😂😂😂,2025-06-03T05:11:54Z,1
reply,Ugz5zOdMzXbtRvx-x6x4AaABAg.AItnbScOvfzAJ0Ca8lNZpk,Ugz5zOdMzXbtRvx-x6x4AaABAg,@MDEDITZ,Moral chodd de bhai😂😂 gane ka maza le,2025-06-06T02:13:36Z,0
top-level,UgytIcMDPnkwbyF61bp4AaABAg,,@Maggi_huh_suf,It's my favourite song all time favourite,2025-06-03T05:04:26Z,19
top-level,UgxnbjjjXd5UXi77Q-B4AaABAg,,@ArjunSharma-m9u,I have only ❤ for this master pieace,2025-06-02T16:55:54Z,16
top-level,UgwQFT5znFPH2kG74C14AaABAg,,@pandey_girl00,02/06/2025❤,2025-06-02T16:16:01Z,7
reply,UgwQFT5znFPH2kG74C14AaABAg.AIsPoe7v3msAJ-GNhMheCx,UgwQFT5znFPH2kG74C14AaABAg,@Doneisyour,Nahi nahi ye thik nahi hai,2025-06-05T17:27:28Z,0
reply,UgwQFT5znFPH2kG74C14AaABAg.AIsPoe7v3msAJ0F_RKPVO4,UgwQFT5znFPH2kG74C14AaABAg,@pandey_girl00,?​@@Doneisyour,2025-06-06T02:39:43Z,0
top-level,UgxBk9FZZl34Ww0C8IB4AaABAg,,@ImranMalik-t3i6n,2 :15 ❤,2025-06-02T09:19:56Z,1
top-level,UgxHpOMUzwoaHc5vMRt4AaABAg,,@Armansiddiqui-v9w,Best💯 🎵सोंग,2025-06-02T06:37:33Z,4
top-level,UgxZf8T2l_oZ4I3lz2F4AaABAg,,@Armansiddiqui-v9w,❤❤❤🎉🎉🎉,2025-06-02T06:37:11Z,0
top-level,UgwPO3RO-XtaqTvuxwJ4AaABAg,,@AlmasKhan-d3h,Papa mummy ke liye nahi hum khudke liye sun rhe he,2025-06-02T03:04:34Z,1621
reply,UgwPO3RO-XtaqTvuxwJ4AaABAg.AIr-Ez9b3ZjAIrCkRD1KUa,UgwPO3RO-XtaqTvuxwJ4AaABAg,@PriyaJha-k3h,😂,2025-06-02T05:02:36Z,38
reply,UgwPO3RO-XtaqTvuxwJ4AaABAg.AIr-Ez9b3ZjAIrQqyr7fKl,UgwPO3RO-XtaqTvuxwJ4AaABAg,@amonguslady,😂,2025-06-02T07:05:49Z,20
reply,UgwPO3RO-XtaqTvuxwJ4AaABAg.AIr-Ez9b3ZjAIrXTPauJ27,UgwPO3RO-XtaqTvuxwJ4AaABAg,@Raaj-v6j,Exactly 😂😂😂,2025-06-02T08:03:38Z,20
reply,UgwPO3RO-XtaqTvuxwJ4AaABAg.AIr-Ez9b3ZjAIroUdZ3Jwy,UgwPO3RO-XtaqTvuxwJ4AaABAg,@MdAfaque-z2h,😂😢,2025-06-02T10:41:06Z,11
reply,UgwPO3RO-XtaqTvuxwJ4AaABAg.AIr-Ez9b3ZjAItuCK1BRAh,UgwPO3RO-XtaqTvuxwJ4AaABAg,@callmebyurname605,Are bhaii 😂,2025-06-03T06:09:30Z,14
top-level,UgxYHqHU5Omw2DUn0Mt4AaABAg,,@muntazirmehdi14512,Who thinks old songs are better than todays trash songs,2025-06-01T17:28:53Z,47
reply,UgxYHqHU5Omw2DUn0Mt4AaABAg.AIpyMY2LuidAJ4gy6LHzyc,UgxYHqHU5Omw2DUn0Mt4AaABAg,@mark42gamers36,Yes sir👍,2025-06-07T20:04:43Z,0
top-level,Ugxxzqb8HQ7SzF8kng54AaABAg,,@dineshbumdiya5133,Fav song ❤,2025-06-01T15:03:39Z,1
top-level,UgydKFRSmf7eZbOCvK94AaABAg,,@ANUJDIXIT6268,🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡,2025-06-01T07:26:56Z,0
top-level,UgxnTOKxlPg8yI35IVN4AaABAg,,@rohitdoke2612,2:15 ❤,2025-06-01T06:26:03Z,8
top-level,UgyRafg7Knqn0pcUbQt4AaABAg,,@MayankAthole,"Bhaii jo gaana trend me aaya repost kardo..😅
Par isse purani chizen phirse rukke tarashi jati haii...acchaa haii❤❤",2025-06-01T05:20:21Z,11
top-level,UgyVw4WTSguyNNcIg0p4AaABAg,,@chhavigupta5405,"What this song want to say 
Means ldka kya khna chah rha h?
And when girl listen it from boy ,what she need to do now?",2025-05-31T18:33:14Z,3
reply,UgyVw4WTSguyNNcIg0p4AaABAg.AInVw-M4eUtAInkUE-jfgf,UgyVw4WTSguyNNcIg0p4AaABAg,@ankitbairagi2987,"Ek ladka hai jis pr bhut si jimmedari ke bojh tale daba hua hai jisme pyaar khub bhara hua hai... Lekin fir bhi wo jin chizo se jujh rha hai wo nhi chahta ki koi or bhi un chizo se suffer kre..... 
Dusri hi tarf hai ek ladki jo use bhut pasnd krti hai,.. uske liye kuchh bhi krne ko taiyar hai... Or ye sochti hai ki hum dono ka janm janm ka saath hai.... Lekin ladke ko pta hai ki wo uss raah pr nhi chl payegi jis pr wo abhi hai.... That's why wo use ignore krna chahta hai... Jabki wo janta hai ki uske mn m bhi uss ladki ke liye bhut saari bhavnaye bhari hui hai✨❤️ here is the explanation ☺️",2025-05-31T20:49:07Z,4
reply,UgyVw4WTSguyNNcIg0p4AaABAg.AInVw-M4eUtAIowoye8Yee,UgyVw4WTSguyNNcIg0p4AaABAg,@chhavigupta5405,"​@@ankitbairagi2987
To ldke ko ldki ko smjhana chahiye na apni problem 
Dur hona is a soln? 
Ignore krna is a solution?
Ab kya krna chahiye ldki ko ..??

Btw your explaining power is too good💯",2025-06-01T07:56:11Z,0
reply,UgyVw4WTSguyNNcIg0p4AaABAg.AInVw-M4eUtAIpghhgyghg,UgyVw4WTSguyNNcIg0p4AaABAg,@ankitbairagi2987,​@@chhavigupta5405 Kbhi kbhi hum jin conditions m rehte hai tb unke according hme unn chizo ka tyag kr dena chahiye hota hai... Jo hme sabse jaada kimti lgti hai... Long-term m  Usme dono ka fayda hota hai....,2025-06-01T14:54:37Z,3
reply,UgyVw4WTSguyNNcIg0p4AaABAg.AInVw-M4eUtAIqBYpOGA7F,UgyVw4WTSguyNNcIg0p4AaABAg,@ujalabegam9132,Yes it's true ​@@ankitbairagi2987,2025-06-01T19:32:54Z,0
reply,UgyVw4WTSguyNNcIg0p4AaABAg.AInVw-M4eUtAIsDIOuhgrh,UgyVw4WTSguyNNcIg0p4AaABAg,@Chan-zi,"​@@chhavigupta5405 Ye gaana aisa h, jo kaafi deep meaning rakhta hai, typical romantic gana nhi hai ye. 
Ladka aajad hai udta panchi hai isliye ladki bhi uske isi befikre mijjaj ki vajah se usse pyaar kar baithi hai, kind of samjh lo guru and chela. Jahan ek samay par guru apne shishya ko sab kuch sikhana chahta hai lekin vo puchta bhi h, kab tak sath chloge mere to vo shishya kehra hai ""jab tak tu na kahe mai hara"" ye jugalbandi jo aap har bhakti kavita m dekhoge jaise – kabir, meera, bullesaah, Rumi.
Maane ye raah bhaut kathin hai, apne ahenkaar ko chod satya ki or jaane ki baat ho rhi h pure gaane me, dhyaan se sunna is baar Hero yahan ek guru h jo koi bandhan nhi manta or ladki uska discipline jo uske isi beparvaah mijaj ki vajah se bandhan todta hua aage badna chahta hai par sharir,samaj, sanyog itni aasani se aisa nhi hone deta.",2025-06-02T14:26:37Z,0
top-level,UgzXBgMLDl4wKWqvKcB4AaABAg,,@SaloniJaiswal-f8t,❤,2025-05-31T14:40:25Z,0
top-level,Ugzp1K3GwxrLnq6wTPV4AaABAg,,@rinkutiwari5665,Best song ❤️,2025-05-31T12:53:46Z,6
top-level,Ugwlowm3vA12MilP5Z14AaABAg,,@manjumonu9011,Nice❤,2025-05-31T08:51:36Z,0
top-level,UgxL9gxT0LXNdq513Nd4AaABAg,,@irfankhanlabib,:),2025-05-28T10:58:02Z,0
top-level,Ugzw6RZR3yED4mw7bAl4AaABAg,,@ashimabhattacharjee6378,All time hit song.,2025-05-27T09:13:05Z,4
top-level,UgwCHUtUz5zDzgX4hCZ4AaABAg,,@NaveedAslam-gl6uv,"Minds, Eyes & Brain Opener💯🙏",2025-05-27T06:52:26Z,11
top-level,UgybDrX5dUjVaHMwbed4AaABAg,,@NaveedAslam-gl6uv,MashaAllah Alhamdulillah InshaAllah 💯🙏,2025-05-27T06:50:45Z,4
